model,samples,mae,rmse,mape,inference_seconds,site_id
rf,112,120.30005952380937,179.23414114886972,9.298612470930383,0.019074900075793266,970
gru,112,807.3503499712263,931.0745419033653,121.71602245221294,0.361944800009951,970
lstm,112,1007.0122702462332,1150.3652372664033,171.57319482281684,0.3518537001218647,970
rf,112,141.59029761904796,220.40949227994517,12.7763121096887,0.018314399989321828,2000
gru,112,790.4062554495675,943.4559567495926,87.00770793451207,0.36410670005716383,2000
lstm,112,981.119032723563,1150.4066602177202,115.47594950157945,0.32935449993237853,2000
rf,112,62.0932738095238,94.96528553501042,10.61717231195036,0.018590900115668774,2200
gru,112,410.69593865530834,485.59005439131727,133.3155139545717,0.34098530001938343,2200
lstm,112,563.0771217346191,654.0188805949053,206.87007846411535,0.32328320015221834,2200
rf,112,56.738601190476274,86.56288945875406,10.277391987342902,0.020116599975153804,2820
gru,112,242.45106261117118,292.65365851565184,98.45307322063441,0.32736460003070533,2820
lstm,112,373.4897038596017,426.085842031173,160.06178871705933,0.3069853000342846,2820
rf,112,48.20875000000001,72.26203026662037,13.8629143325486,0.023487999802455306,2825
gru,112,203.52095249720983,250.81652049470136,122.48109872529507,0.3498037999961525,2825
lstm,112,241.0514681679862,291.7104532316396,160.63862525872418,0.3183246001135558,2825
rf,112,102.26907738095223,147.67611192415492,11.355731697163533,0.018664400093257427,2827
gru,112,712.6407002040318,836.8457542034847,112.72447841555544,0.3368206999730319,2827
lstm,112,857.7757383074079,1001.870219273332,144.21001425276006,0.6191166997887194,2827
rf,112,80.59999999999984,114.8314769115265,13.596088574124925,0.015801000175997615,2846
gru,112,398.0212778363909,492.72703106273616,128.0742466395213,0.31474979990161955,2846
lstm,112,478.9435670035226,586.5750277091887,159.9224304778355,0.30164969991892576,2846
rf,112,261.0146428571432,364.03405340665967,23.457818710502117,0.02787700016051531,3001
gru,112,520.047603062221,630.9128079919243,85.85803891814176,0.48436090000905097,3001
lstm,112,679.2287870134626,805.3125335908852,112.4898546807336,0.3510376000776887,3001
gru,112,648.0696994236538,725.1792719765322,114.52479629196716,0.7409165999852121,3002
lstm,112,836.8669733319964,927.5635494860454,163.88523027015486,0.29331269999966025,3002
rf,112,1110.8593452380944,1655.6574108458806,43.11827149434583,0.030860000057145953,3002
rf,112,106.29997023809494,158.5773689382721,9.282523900579223,0.020068499958142638,3120
gru,112,416.07954243251254,502.1996172548646,38.28708465157975,0.36694910004734993,3120
lstm,112,580.5255334036691,673.6727842516815,55.91522593543814,0.3027083999477327,3120
rf,112,83.70601190476171,121.36094561854937,10.667604775999092,0.02278989995829761,3122
gru,112,451.44151251656666,521.2025810008836,131.5332390907003,0.33706169994547963,3122
lstm,112,646.6413830348423,723.1057761473584,191.96767899451444,0.35204089991748333,3122
rf,112,106.78223214285705,153.7681031254195,10.974539755665557,0.02176149981096387,3126
gru,112,505.64670126778736,601.9540195250491,110.95814026197912,0.3481308000627905,3126
lstm,112,638.7143151419504,744.8913369024662,142.31424143831057,0.363534800009802,3126
gru,112,498.2111609322684,562.4095224325736,187.47904159261643,0.3562528998591006,3127
lstm,112,740.5989772251675,806.2490325510104,281.90239177141365,0.29154279991053045,3127
rf,112,917.6686607142886,1385.9152992125396,157.87814910305232,0.01809400017373264,3127
rf,112,54.961934523809596,79.26725222121927,14.149923765393627,0.0336665001232177,3180
gru,112,305.6195515223912,366.1177953145007,126.39153340973029,0.49239519983530045,3180
lstm,112,433.219603402274,502.2721620014915,196.88988436703792,0.3699170998297632,3180
rf,112,116.26059523809559,208.40059513156524,10.974778475837581,0.03847069991752505,3662
gru,112,491.6184992109026,599.5809997030525,85.8173452051967,0.543769899988547,3662
lstm,112,678.2844145638602,798.3036774358069,123.57211371898967,0.4678017001133412,3662
rf,112,101.6081845238095,177.54947058121746,14.466819491310087,0.019949199864640832,3682
gru,112,506.11325972420826,625.7577954307694,113.39764663796427,0.39482390019111335,3682
lstm,112,695.8210356576102,838.9205218509593,160.59994738546294,0.3807134998496622,3682
rf,112,460.035089285715,596.302779553704,154.0626751648047,0.025910699972882867,3685
gru,112,596.1549944196429,690.0957595381628,244.11957388462167,0.4561654001008719,3685
lstm,112,676.8743918282645,761.8799755899825,266.5082402915671,0.44249219982884824,3685
rf,112,109.37190476190503,164.31388583372313,18.113686215927906,0.028242400148883462,3804
gru,112,519.9132821219308,615.6568873247859,156.83089455225672,0.42293719993904233,3804
lstm,112,684.734201158796,797.2602817523696,218.61386343966726,0.4371344998944551,3804
rf,112,204.03339285714264,299.7236557379621,23.684570849451912,0.025321300141513348,3812
gru,112,489.0231939043318,598.9833370167051,120.44430864146986,0.435271899914369,3812
lstm,112,653.001165662493,765.7116689253961,199.52656481129014,0.3308419000823051,3812
rf,112,79.64229166666675,117.1234376913812,13.465108397988827,0.024708700133487582,4030
gru,112,320.79471370152066,362.8093940568197,87.3133920222619,0.3917266000062227,4030
lstm,112,424.89085061209545,471.0668494345321,116.31702485000459,0.3699217000976205,4030
rf,112,82.64901785714265,115.76283063679611,10.71127311061273,0.026493700221180916,4032
gru,112,463.4344929286412,556.7145266984327,90.40906618150522,0.406686200061813,4032
lstm,112,780.8970609392438,883.2624414566066,162.43111589707806,0.3294615999329835,4032
rf,112,92.02104166666598,134.5567743501298,10.719546947378648,0.020601300057023764,4034
gru,112,544.1703850882394,649.629575267172,97.11257107539036,0.43979509989731014,4034
lstm,112,617.1149673461914,728.6841156075218,127.04243111701463,0.3810147000476718,4034
rf,112,94.19672619047587,140.72252683676945,10.564510528451768,0.03741179988719523,4035
gru,112,493.37665121895924,586.7608080138702,90.67892080739979,0.48474179999902844,4035
lstm,112,594.8127207074847,697.4023016547804,113.398525366493,0.3765611001290381,4035
rf,112,99.45279761904725,145.61185291290718,9.496980041293723,0.020941299851983786,4040
gru,112,472.80237252371654,569.9084864090865,72.70441328205007,0.43249480007216334,4040
lstm,112,600.6973549979074,705.2529245320959,91.41314239907994,0.37160439998842776,4040
rf,112,119.03767857142887,191.60707995967869,10.986000490937501,0.023701300146058202,4043
gru,112,711.3147256033761,836.3411357763443,107.5030813629315,0.4601261999923736,4043
lstm,112,935.5523834228516,1060.8603755455335,142.27666804259928,0.35954520013183355,4043
rf,112,45.4107142857144,63.270158060432195,13.693060537630345,0.0344227000605315,4051
gru,112,213.3488006591797,251.56148277426837,144.66765435830038,0.73063680017367,4051
lstm,112,288.42028999328613,323.17657088881174,193.77539572677514,0.602649100124836,4051
rf,112,72.3328273809524,96.04671048371239,13.375245875474429,0.03693350008688867,4057
gru,112,473.25279017857144,564.9208765370934,174.8255315015151,0.35233079991303384,4057
lstm,112,560.2702195303781,658.7039838451445,236.81291912217435,0.35738689987920225,4057
rf,112,84.55773809523824,131.47339446738945,10.716755519206545,0.020757799968123436,4063
gru,112,337.5381202697754,403.22606984393406,89.3268532447207,0.34782149991951883,4063
lstm,112,512.2193260192871,575.0344792657766,130.0488946464223,0.2660705999005586,4063
rf,112,97.51258928571421,124.56384159234192,24.04722319157559,0.01503090001642704,4262
gru,112,166.3616647720337,187.3426945410038,78.89423667079626,1.271133900154382,4262
lstm,112,235.65587207249231,261.81735077540094,126.97408252375185,0.3342399999964982,4262
gru,112,617.6160321916852,696.2198208016131,116.06635353863363,0.363845800049603,4263
lstm,112,817.3593973432269,906.1919740679069,157.933084692628,0.24988380004651845,4263
rf,112,751.4849404761904,1092.8398393395164,38.475742527836445,0.01327110012061894,4263
rf,112,184.54357142857154,241.48876227633056,27.32354919165022,0.01776849990710616,4264
gru,112,360.3650218418666,450.08933191936364,85.458054074222,0.36791539983823895,4264
lstm,112,458.9330357142857,558.1811372589987,117.82837623382301,0.2725178000982851,4264
rf,112,85.25979166666639,121.14853198484609,9.371801719182129,0.02150639984756708,4266
gru,112,453.5573392595564,565.3905178609962,77.026113439193,0.34844619990326464,4266
lstm,112,715.3979906354632,821.007358915967,133.61192396695805,0.36544289998710155,4266
rf,112,81.5879464285713,116.64017912116135,14.158913449780282,0.0198336998000741,4270
gru,112,361.2156317574637,439.98395313106846,74.99379621929504,0.32390169985592365,4270
lstm,112,568.5797822134836,648.9455378341593,111.37496127498581,0.27328319987282157,4270
rf,108,55.468024691357925,76.04152367109835,12.518316232020418,0.014326300006359816,4272
gru,108,312.55454028094255,377.2606629425186,96.34651339504262,0.28082030010409653,4272
lstm,108,376.30760192871094,446.9420522105239,123.63087387452742,0.25387270003557205,4272
rf,112,71.09976190476202,107.40882953141946,15.388362606423511,0.019265499897301197,4273
gru,112,283.94011987958635,353.58218504131423,123.06201582338201,0.28972289990633726,4273
lstm,112,381.55975341796875,470.0498148682389,180.8315481739506,0.2575754998251796,4273
rf,112,66.47586309523821,103.67766378232636,11.482304771761807,0.019996599992737174,4321
gru,112,378.35569763183594,457.90441169165274,122.67569409940273,0.29521190002560616,4321
lstm,112,448.2922009059361,538.2942195585662,151.72196619116178,0.26896249991841614,4321
rf,112,47.43077380952386,64.0911349251366,11.852830153726979,0.014806499937549233,4324
gru,112,249.96218817574638,307.1669134008422,94.33637787048028,0.29513289988972247,4324
lstm,112,366.15029198782787,422.07682809257415,130.6772769864905,0.2954116000328213,4324
rf,112,69.50970238095225,96.98256643879617,13.35927476145675,0.016208899905905128,4335
gru,112,240.02311543055944,291.6375303803823,103.87616618058813,0.36566280014812946,4335
lstm,112,330.6003516060965,378.54120019107194,150.11489344908352,0.2884162000846118,4335
rf,112,275.72366071428587,387.1754125766115,31.251906670051294,0.025631000055000186,4812
gru,112,448.485116141183,502.1689757161992,122.59663654282753,0.3747522998601198,4812
lstm,112,474.3594534737723,536.8304999382461,134.4881963987873,0.27060980000533164,4812
rf,112,81.61244047619064,133.4345086535085,11.867972312013512,0.025303400121629238,4821
gru,112,415.2742009844099,467.9668523888394,85.72706259035392,0.35117270005866885,4821
lstm,112,504.0631239754813,566.1980357971603,107.2030560715455,0.3263042999897152,4821
