model,samples,mae,rmse,mape,inference_seconds,site_id
rf,112,120.30005952380937,179.23414114886972,9.298612470930383,0.018551900051534176,970
lstm,112,945.3747961861746,1088.044176211331,159.9028293736905,0.30308719992171973,970
gru,112,958.4073279244559,1090.1355750625974,161.93063936041227,0.3421127999899909,970
rf,112,141.59029761904796,220.40949227994517,12.7763121096887,0.018166099907830358,2000
gru,112,712.6852722167969,869.8040479650359,72.65341351836454,0.3173036000225693,2000
lstm,112,1140.5682067871094,1306.1339351033669,131.99758994453933,0.3025639000115916,2000
rf,112,62.0932738095238,94.96528553501042,10.61717231195036,0.032794700004160404,2200
gru,112,379.60857336861744,456.3613004784192,115.51010326327238,0.4461142999352887,2200
lstm,112,633.76641028268,720.3653464749291,200.91712424657905,0.4123161000898108,2200
rf,112,56.738601190476274,86.56288945875406,10.277391987342902,0.016240099910646677,2820
gru,112,270.03866604396273,318.6301647549726,108.81214889480728,0.32995050004683435,2820
lstm,112,366.4362465994699,418.67395480631313,149.56450705504898,0.314888900029473,2820
rf,112,48.20875000000001,72.26203026662037,13.8629143325486,0.031335299951024354,2825
gru,112,209.36542756216866,256.4838454578848,129.08628293946015,0.3825165999587625,2825
lstm,112,239.99268313816614,289.01873828477693,165.3818156262568,0.32204719993751496,2825
rf,112,102.26907738095223,147.67611192415492,11.355731697163533,0.0326353000709787,2827
gru,112,580.055604662214,703.4647515938788,87.82619162702169,0.4665581000735983,2827
lstm,112,826.6926138741629,969.6801669783313,139.9978335267696,0.6481213999213651,2827
rf,112,80.59999999999984,114.8314769115265,13.596088574124925,0.017716699978336692,2846
gru,112,410.88618087768555,505.907532923048,134.00127586323623,0.3620674000121653,2846
lstm,112,505.1566816057478,617.2130206675112,171.4390681359964,0.28622509993147105,2846
rf,112,261.0146428571432,364.03405340665967,23.457818710502117,0.022879800060763955,3001
gru,112,509.1101918901716,625.4408777814272,79.16392463150642,0.5259372000582516,3001
lstm,112,676.3946887425014,801.7495280555221,110.65872728357706,0.4946702999295667,3001
gru,112,615.540709904262,690.7997521775103,115.1018561722567,1.1967098000459373,3002
lstm,112,864.1546946934292,953.8227839205142,164.20802969756042,0.5028691999614239,3002
rf,112,1110.8593452380944,1655.6574108458806,43.11827149434583,0.02253929991275072,3002
rf,112,106.29997023809494,158.5773689382721,9.282523900579223,0.026520999963395298,3120
gru,112,406.78106798444475,492.44352315475857,39.021090818698305,0.5693058999022469,3120
lstm,112,592.2467204502651,683.6867297817462,55.271732124452186,0.4791823000414297,3120
rf,112,83.70601190476171,121.36094561854937,10.667604775999092,0.02050089999102056,3122
gru,112,432.7934875488281,506.71605902713753,116.65995214410552,0.5647699000546709,3122
lstm,112,675.0236549377441,749.7358650269439,202.4367280255541,0.48381549993064255,3122
rf,112,106.78223214285705,153.7681031254195,10.974539755665557,0.03509830008260906,3126
gru,112,490.7289630344936,584.4974945405671,107.7724581829335,0.6846701999893412,3126
lstm,112,524.1792161124093,621.9583000943489,124.30564040366323,0.46941769996192306,3126
gru,112,579.3748561314175,643.4402883317293,220.26212105492243,0.5845240999478847,3127
